date,value
13/02/01,0.0
13/03/04,0.12777777777777777
13/04/04,0.013888888888888888
13/05/05,0.24444444444444435
13/06/05,0.7250000000000001
13/07/06,0.8361111111111112
13/08/06,2.927777777777777
13/09/06,3.2083333333333335
13/10/07,2.0250000000000004
13/11/07,0.9444444444444444
13/12/08,0.5222222222222225
14/01/08,0.26944444444444443
14/02/08,0.03333333333333333
14/03/11,0.0
14/04/11,0.008333333333333335
14/05/12,0.2805555555555555
14/06/12,0.5249999999999999
14/07/13,1.0555555555555558
14/08/13,3.0000000000000004
14/09/13,3.388888888888889
14/10/14,2.8527777777777783
14/11/14,0.902777777777778
14/12/15,0.336111111111111
15/01/15,0.06944444444444446
15/02/15,0.008333333333333335
15/03/18,0.0
15/04/18,0.20555555555555557
15/05/19,0.4444444444444444
15/06/19,0.9833333333333331
15/07/20,1.9777777777777774
15/08/20,3.9258064516129036
15/09/20,3.188888888888888
15/10/21,2.0361111111111114
15/11/21,0.6944444444444444
15/12/22,0.2222222222222222
16/01/22,0.1111111111111111
16/02/22,0.030555555555555558
16/03/24,0.06666666666666667
16/04/24,0.29393939393939394
16/05/25,0.5444444444444445
16/06/25,0.7178571428571427
16/07/26,2.6444444444444444
16/08/26,3.9694444444444437
16/09/26,3.1722222222222225
16/10/27,1.1428571428571428
16/11/27,0.4628571428571429
16/12/28,0.336111111111111
17/01/28,0.030555555555555558
17/02/28,0.0638888888888889
17/03/31,0.22777777777777775
17/05/01,0.3
17/06/01,0.7916666666666666
17/07/02,0.8999999999999999
17/08/02,1.8833333333333333
17/09/02,3.6333333333333337
17/10/03,2.9
17/11/03,1.208333333333333
17/12/04,0.4472222222222222
18/01/04,0.3166666666666666
18/02/04,0.05
18/03/07,0.1333333333333333
18/04/07,0.18333333333333335
18/05/08,0.27222222222222214
18/06/08,0.7055555555555555
18/07/09,1.172222222222222
18/08/09,3.7083333333333335
18/09/09,3.3694444444444445
18/10/10,1.6194444444444445
18/11/10,0.5472222222222223
18/12/11,0.4472222222222222
19/01/11,0.30277777777777776
19/02/11,0.2444444444444444
19/03/14,0.019444444444444445
19/04/14,0.21111111111111114
19/05/15,0.23611111111111105
19/06/15,0.786111111111111
19/07/16,0.8111111111111111
19/08/16,2.7027777777777775
19/09/16,4.119444444444444
19/10/17,2.6305555555555546
19/11/17,0.8321428571428572
19/12/18,0.28
20/01/18,0.2138888888888889
20/02/18,0.030000000000000006
20/03/20,0.0
20/04/20,0.19166666666666665
20/05/21,0.4333333333333334
20/06/21,0.3861111111111111
20/07/22,1.425
20/08/22,2.6861111111111113
20/09/22,3.927777777777779
20/10/23,1.302777777777778
20/11/23,0.4107142857142857
20/12/24,0.32631578947368417
21/01/24,0.21923076923076928
21/02/24,0.042105263157894736
21/03/27,0.0
21/04/27,0.27777777777777773
21/05/28,0.588888888888889
21/06/28,0.7833333333333333
21/07/29,2.372222222222222
21/08/29,2.9111111111111105
21/09/29,2.7944444444444447
21/10/30,0.9222222222222223
21/11/30,0.4833333333333333
21/12/31,0.38888888888888895
22/01/31,0.061111111111111116
22/03/03,0.0029411764705882353
22/04/03,0.15
22/05/04,0.15500000000000003
22/06/04,0.6000000000000001
22/07/05,0.8611111111111113
22/08/05,2.5222222222222226
22/09/05,4.027777777777779
22/10/06,3.0500000000000003
22/11/06,1.2305555555555554
22/12/07,0.5812499999999999
23/01/07,0.24761904761904768
