date,value
13/02/01,2.777777777777778e-05
13/03/04,0.0008611111111111111
13/04/04,0.0016538461538461542
13/05/05,0.004599999999999999
13/06/05,0.007611111111111112
13/07/06,0.005555555555555556
13/08/06,0.004058823529411765
13/09/06,0.008050000000000002
13/10/07,0.009111111111111111
13/11/07,0.005888888888888889
13/12/08,0.0024583333333333336
14/01/08,0.00046153846153846153
14/02/08,0.0008500000000000001
14/03/11,0.0010555555555555557
14/04/11,0.0025555555555555557
14/05/12,0.004692307692307692
14/06/12,0.006892857142857145
14/07/13,0.0054285714285714284
14/08/13,0.0055
14/09/13,0.006555555555555556
14/10/14,0.006666666666666667
14/11/14,0.005833333333333333
14/12/15,0.002777777777777778
15/01/15,0.0011250000000000001
15/02/15,0.0010833333333333335
15/03/18,0.0021111111111111113
15/04/18,0.0037692307692307695
15/05/19,0.004966666666666666
15/06/19,0.007750000000000002
15/07/20,0.005772727272727273
15/08/20,0.007777777777777778
15/09/20,0.008333333333333331
15/10/21,0.007833333333333336
15/11/21,0.00435
15/12/22,0.0015
16/01/22,0.0006944444444444445
16/02/22,0.0008500000000000001
16/03/24,0.002277777777777778
16/04/24,0.00385
16/05/25,0.005352941176470588
16/06/25,0.008250000000000002
16/07/26,0.005055555555555555
16/08/26,0.005055555555555555
16/09/26,0.006333333333333333
16/10/27,0.006821428571428574
16/11/27,0.0037222222222222223
16/12/28,0.0009000000000000002
17/01/28,0.0009722222222222223
17/02/28,0.0006000000000000002
17/03/31,0.0002647058823529412
17/05/01,0.0028928571428571436
17/06/01,0.007550000000000001
17/07/02,0.009727272727272725
17/08/02,0.0046944444444444455
17/09/02,0.0069500000000000004
17/10/03,0.006277777777777778
17/11/03,0.006722222222222222
17/12/04,0.003777777777777778
18/01/04,0.0014444444444444444
18/02/04,0.00155
18/03/07,0.0025769230769230765
18/04/07,0.0030294117647058825
18/05/08,0.00455
18/06/08,0.004944444444444443
18/07/09,0.0034444444444444444
18/08/09,0.0036111111111111114
18/09/09,0.005166666666666667
18/10/10,0.005611111111111111
18/11/10,0.0030555555555555557
18/12/11,0.0017777777777777779
19/01/11,0.0014000000000000004
19/02/11,0.0007333333333333336
19/03/14,0.0009285714285714289
19/04/14,0.0028333333333333335
19/05/15,0.005166666666666667
19/06/15,0.005138888888888889
19/07/16,0.009305555555555556
19/08/16,0.006583333333333333
19/09/16,0.006861111111111112
19/10/17,0.0066388888888888895
19/11/17,0.0053055555555555555
19/12/18,0.0024444444444444444
20/01/18,0.0012500000000000002
20/02/18,0.0010277777777777778
20/03/20,0.0014722222222222224
20/04/20,0.0030000000000000005
20/05/21,0.005777777777777778
20/06/21,0.008972222222222223
20/07/22,0.006027777777777779
20/08/22,0.0049499999999999995
20/09/22,0.003944444444444445
20/10/23,0.008899999999999998
20/11/23,0.0038333333333333336
20/12/24,0.007692307692307693
21/01/24,0.00195
21/02/24,0.0010384615384615389
21/03/27,0.0016666666666666672
21/04/27,0.0022500000000000003
21/05/28,0.0055294117647058825
21/06/28,0.006409090909090909
21/07/29,0.005550000000000001
21/08/29,0.006222222222222223
21/09/29,0.0108
21/10/30,0.0058529411764705885
21/11/30,0.004727272727272727
21/12/31,0.0034500000000000004
22/01/31,0.0006000000000000002
22/03/03,0.0010000000000000002
22/04/03,0.0023000000000000004
22/05/04,0.0048
22/06/04,0.006499999999999999
22/07/05,0.005423076923076924
22/08/05,0.0052812499999999995
22/09/05,0.012
22/10/06,0.012535714285714289
22/11/06,0.008058823529411766
22/12/07,0.0030000000000000005
23/01/07,0.0015499999999999997
