date,value
13/02/01,0.07500000000000001
13/03/04,0.10833333333333334
13/04/04,0.18888888888888886
13/05/05,0.21388888888888888
13/06/05,0.2694444444444444
13/07/06,0.34166666666666656
13/08/06,0.2499999999999999
13/09/06,0.32499999999999996
13/10/07,0.3111111111111111
13/11/07,0.2638888888888888
13/12/08,0.20833333333333334
14/01/08,0.11388888888888887
14/02/08,0.15277777777777776
14/03/11,0.18333333333333326
14/04/11,0.19444444444444442
14/05/12,0.22222222222222218
14/06/12,0.24722222222222212
14/07/13,0.21944444444444444
14/08/13,0.23888888888888882
14/09/13,0.2555555555555555
14/10/14,0.2666666666666666
14/11/14,0.23333333333333328
14/12/15,0.17777777777777773
15/01/15,0.13888888888888884
15/02/15,0.13333333333333333
15/03/18,0.14999999999999997
15/04/18,0.18888888888888883
15/05/19,0.2666666666666667
15/06/19,0.2916666666666666
15/07/20,0.4138888888888889
15/08/20,0.3222222222222222
15/09/20,0.39722222222222237
15/10/21,0.34444444444444433
15/11/21,0.21944444444444444
15/12/22,0.17777777777777773
16/01/22,0.11944444444444441
16/02/22,0.11388888888888887
16/03/24,0.18333333333333335
16/04/24,0.20606060606060606
16/05/25,0.24444444444444435
16/06/25,0.2749999999999999
16/07/26,0.24166666666666659
16/08/26,0.2527777777777777
16/09/26,0.3222222222222222
16/10/27,0.30000000000000004
16/11/27,0.17777777777777778
16/12/28,0.13888888888888887
17/01/28,0.15555555555555556
17/02/28,0.08055555555555556
17/03/31,0.06666666666666668
17/05/01,0.2222222222222222
17/06/01,0.2944444444444444
17/07/02,0.29999999999999993
17/08/02,0.29722222222222217
17/09/02,0.3194444444444444
17/10/03,0.3472222222222221
17/11/03,0.28611111111111104
17/12/04,0.21944444444444441
18/01/04,0.18888888888888886
18/02/04,0.17777777777777773
18/03/07,0.1694444444444444
18/04/07,0.21111111111111114
18/05/08,0.2222222222222222
18/06/08,0.2305555555555555
18/07/09,0.22499999999999998
18/08/09,0.21944444444444441
18/09/09,0.31111111111111106
18/10/10,0.32499999999999996
18/11/10,0.23611111111111105
18/12/11,0.19444444444444442
19/01/11,0.15833333333333333
19/02/11,0.11388888888888887
19/03/14,0.1472222222222222
19/04/14,0.21666666666666665
19/05/15,0.23888888888888882
19/06/15,0.3555555555555555
19/07/16,0.3472222222222221
19/08/16,0.311111111111111
19/09/16,0.31944444444444436
19/10/17,0.27499999999999997
19/11/17,0.24285714285714288
19/12/18,0.1971428571428571
20/01/18,0.1805555555555555
20/02/18,0.17
20/03/20,0.18235294117647058
20/04/20,0.20833333333333337
20/05/21,0.24444444444444435
20/06/21,0.27777777777777773
20/07/22,0.2638888888888888
20/08/22,0.24999999999999994
20/09/22,0.23888888888888882
20/10/23,0.23888888888888882
20/11/23,0.21428571428571433
20/12/24,0.17894736842105266
21/01/24,0.18461538461538457
21/02/24,0.16842105263157897
21/03/27,0.19444444444444445
21/04/27,0.21111111111111114
21/05/28,0.25
21/06/28,0.2611111111111111
21/07/29,0.2555555555555556
21/08/29,0.2666666666666667
21/09/29,0.4444444444444444
21/10/30,0.2888888888888889
21/11/30,0.21666666666666667
21/12/31,0.19444444444444445
22/01/31,0.10000000000000002
22/03/03,0.15882352941176467
22/04/03,0.17777777777777773
22/05/04,0.225
22/06/04,0.2441176470588235
22/07/05,0.24166666666666659
22/08/05,0.23611111111111105
22/09/05,0.4111111111111112
22/10/06,0.5416666666666666
22/11/06,0.37500000000000006
22/12/07,0.20555555555555552
23/01/07,0.15277777777777773
